BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;68159;-1;<p:>;;;;;;;;;;
68160;4319;0;s;;Something;s V m T I N;;;;;;;
72480;4319;0;V;;Something;s V m T I N;;;;;;;
76800;2879;0;m;;Something;s V m T I N;;;;;;;
79680;1919;0;T;;Something;s V m T I N;;;;;;;
81600;2399;0;I;;Something;s V m T I N;;;;;;;
84000;1919;0;N;;Something;s V m T I N;;;;;;;
85920;3359;1;I;;is;I z;;;;;;;
89280;3839;1;z;;is;I z;;;;;;;
93120;4799;2;v;;very;v E R i:;;;;;;;
97920;5279;2;3`;;very;v E R i:;;;;;;;
103200;2399;2;i:;;very;v E R i:;;;;;;;
105600;5759;3;R;;wrong;R O: N;;;;;;;
111360;13919;3;O:;;wrong;R O: N;;;;;;;
125280;6719;3;N;;wrong;R O: N;;;;;;;
132000;1439;4;E;;says;s E z;;;;;;;
133440;4799;4;z;;says;s E z;;;;;;;
138240;4319;5;D;;the;D V;;;;;;;
142560;1439;5;V;;the;D V;;;;;;;
144000;5759;6;d;;detective;d I t E k t I v;;;;;;;
149760;3359;6;I;;detective;d I t E k t I v;;;;;;;
153120;7679;6;t;;detective;d I t E k t I v;;;;;;;
160800;3359;6;E;;detective;d I t E k t I v;;;;;;;
164160;2879;6;k;;detective;d I t E k t I v;;;;;;;
167040;3839;6;t;;detective;d I t E k t I v;;;;;;;
170880;2399;6;I;;detective;d I t E k t I v;;;;;;;
173280;1439;6;v;;detective;d I t E k t I v;;;;;;;
174720;11999;-1;<p:>;;;;;;;;;;
186720;4799;7;aI;;I;aI;;;;;;;
191520;2879;8;n;;know;n @U;;;;;;;
194400;11039;8;@U;;know;n @U;;;;;;;
205440;4799;-1;<p:>;;;;;;;;;;
210240;5759;9;s;;says;s E z;;;;;;;
216000;3359;9;E;;says;s E z;;;;;;;
219360;3359;9;z;;says;s E z;;;;;;;
222720;2879;10;m;;Ms;m s;;;;;;;
225600;3839;10;s;;Ms;m s;;;;;;;
229440;7679;11;g;;Gervis;g 3` v I s;;;;;;;
237120;7199;11;3`;;Gervis;g 3` v I s;;;;;;;
244320;3359;11;v;;Gervis;g 3` v I s;;;;;;;
247680;1439;11;I;;Gervis;g 3` v I s;;;;;;;
249120;5759;11;s;;Gervis;g 3` v I s;;;;;;;
254880;23039;-1;<p:>;;;;;;;;;;
277920;1439;12;I;;It;I t;;;;;;;
279360;3359;12;t;;It;I t;;;;;;;
282720;1919;13;I;;is;I z;;;;;;;
284640;2879;13;z;;is;I z;;;;;;;
287520;4319;-1;<p:>;;;;;;;;;;
291840;1439;14;R;;wrong;R O: N;;;;;;;
293280;3839;14;O:;;wrong;R O: N;;;;;;;
297120;4799;14;N;;wrong;R O: N;;;;;;;
301920;1919;15;D;;that;D { t;;;;;;;
303840;1919;15;{;;that;D { t;;;;;;;
305760;3359;15;t;;that;D { t;;;;;;;
