word,x,y,width,height,page
Something,2,40,132,80,0
is,138,40,23,80,0
very,163,40,52,80,0
wrong,217,40,95,80,0
says,313,40,53,80,0
the,368,40,40,80,0
detective,411,40,110,80,0
I,526,40,23,80,0
know,553,40,84,80,0
says,638,40,53,80,0
Ms,693,40,41,80,0
Gervis,739,40,79,80,0
It,2,130,33,80,0
is,37,130,23,80,0
wrong,62,130,74,80,0
that,140,130,49,80,0
someone,191,130,105,80,0
has,299,130,44,80,0
stolen,345,130,70,80,0
from,419,130,56,80,0
me,479,130,59,80,0
The,539,130,47,80,0
detective,589,130,104,80,0
looks,696,130,63,80,0
around,761,130,82,80,0
Ms,847,130,41,80,0
Gervis,893,130,80,80,0
apartment,974,130,124,80,0
That,2,220,66,80,0
is,70,220,23,80,0
not,95,220,42,80,0
what,139,220,60,80,0
I,201,220,13,80,0
am,218,220,38,80,0
talking,260,220,77,80,0
about,341,220,75,80,0
maam,420,220,84,80,0
What,509,220,64,80,0
is,575,220,23,80,0
wrong,600,220,74,80,0
is,678,220,23,80,0
that,703,220,49,80,0
I,754,220,13,80,0
do,771,220,33,80,0
not,807,220,42,80,0
understand,851,220,128,80,0
how,983,220,53,80,0
the,1038,220,40,80,0
robber,1081,220,79,80,0
got,1162,220,42,80,0
in,1206,220,24,80,0
and,1234,220,45,80,0
out,1283,220,61,80,0
Ms,2,310,41,80,0
Gervis,48,310,74,80,0
and,124,310,45,80,0
the,173,310,40,80,0
detective,216,310,104,80,0
stand,323,310,64,80,0
in,391,310,24,80,0
silence,419,310,86,80,0
Ms,510,310,41,80,0
Gervis,556,310,80,80,0
eyes,637,310,55,80,0
are,694,310,40,80,0
full,737,310,38,80,0
of,779,310,29,80,0
tears,809,310,65,80,0
Her,879,310,45,80,0
hands,926,310,72,80,0
are,1000,310,40,80,0
shaking,1043,310,95,80,0
The,2,400,57,80,0
robber,62,400,79,80,0
did,143,400,38,80,0
not,185,400,42,80,0
come,229,400,65,80,0
through,297,400,91,80,0
the,392,400,40,80,0
window,435,400,111,80,0
says,547,400,53,80,0
the,602,400,40,80,0
detective,645,400,110,80,0
These,760,400,81,80,0
windows,844,400,103,80,0
have,949,400,57,80,0
not,1009,400,42,80,0
been,1053,400,58,80,0
opened,1115,400,86,80,0
or,1205,400,29,80,0
shut,1236,400,53,80,0
in,1291,400,24,80,0
months,2,490,107,80,0
The,2,40,47,80,1
detective,52,40,104,80,1
looks,159,40,63,80,1
at,224,40,27,80,1
the,253,40,40,80,1
fireplace,296,40,105,80,1
The,406,40,57,80,1
robber,466,40,79,80,1
did,547,40,38,80,1
not,589,40,42,80,1
squeeze,633,40,94,80,1
down,730,40,65,80,1
here,799,40,74,80,1
The,874,40,47,80,1
detective,924,40,104,80,1
walks,1031,40,67,80,1
to,1100,40,27,80,1
the,1130,40,40,80,1
front,1173,40,59,80,1
door,1234,40,62,80,1
He,2,130,35,80,1
examines,40,130,109,80,1
the,151,130,40,80,1
latch,194,130,64,80,1
And,263,130,57,80,1
since,324,130,61,80,1
there,388,130,62,80,1
are,453,130,40,80,1
no,496,130,33,80,1
marks,532,130,72,80,1
or,606,130,29,80,1
scratches,637,130,115,80,1
the,756,130,40,80,1
robber,799,130,79,80,1
definitely,880,130,106,80,1
did,988,130,38,80,1
not,1030,130,42,80,1
try,1074,130,35,80,1
to,1111,130,27,80,1
break,1141,130,68,80,1
the,1210,130,40,80,1
lock,1253,130,69,80,1
I,2,220,23,80,1
have,29,220,57,80,1
no,89,220,33,80,1
idea,125,220,50,80,1
how,179,220,53,80,1
he,234,220,32,80,1
did,269,220,38,80,1
it,311,220,39,80,1
says,351,220,53,80,1
a,406,220,17,80,1
bothered,427,220,103,80,1
Ms,534,220,41,80,1
Gervis,580,220,79,80,1
It,664,220,33,80,1
is,699,220,23,80,1
a,724,220,17,80,1
big,745,220,38,80,1
mystery,787,220,111,80,1
And,2,310,57,80,1
you,63,310,44,80,1
say,111,310,42,80,1
the,155,310,40,80,1
robber,198,310,79,80,1
stole,279,310,57,80,1
nothing,339,310,88,80,1
else,431,310,72,80,1
asks,504,310,53,80,1
the,559,310,40,80,1
detective,602,310,110,80,1
No,717,310,46,80,1
money,766,310,86,80,1
no,856,310,33,80,1
jewelry,892,310,91,80,1
no,987,310,33,80,1
crystal,1023,310,100,80,1
Thats,2,400,82,80,1
right,86,400,63,80,1
detective,153,400,110,80,1
He,268,400,35,80,1
took,306,400,55,80,1
only,362,400,52,80,1
what,416,400,60,80,1
was,478,400,49,80,1
important,529,400,113,80,1
to,644,400,27,80,1
me,674,400,59,80,1
Ms,734,400,41,80,1
Gervis,780,400,74,80,1
says,856,400,53,80,1
with,911,400,51,80,1
a,966,400,17,80,1
sigh,987,400,56,80,1
There,2,490,79,80,1
is,84,490,23,80,1
only,109,490,52,80,1
one,163,490,46,80,1
thing,212,490,60,80,1
I,276,490,13,80,1
can,293,490,43,80,1
do,340,490,33,80,1
now,376,490,72,80,1
And,449,490,57,80,1
what,510,490,60,80,1
is,572,490,23,80,1
that,597,490,72,80,1
the,670,490,40,80,1
detective,713,490,104,80,1
asks,820,490,53,80,1
with,875,490,51,80,1
surprise,930,490,98,80,1
I,2,40,23,80,2
will,29,40,41,80,2
stop,74,40,52,80,2
baking,129,40,77,80,2
cakes,210,40,86,80,2
Ms,297,40,41,80,2
Gervis,343,40,74,80,2
says,419,40,58,80,2
They,482,40,70,80,2
are,554,40,40,80,2
mine,597,40,59,80,2
to,659,40,27,80,2
give,689,40,50,80,2
away,742,40,68,80,2
They,815,40,60,80,2
are,877,40,40,80,2
not,920,40,42,80,2
for,964,40,37,80,2
someone,1003,40,105,80,2
to,1111,40,27,80,2
steal,1141,40,76,80,2
You,2,130,56,80,2
cant,62,130,58,80,2
do,122,130,33,80,2
that,158,130,68,80,2
says,227,130,53,80,2
the,282,130,40,80,2
detective,325,130,104,80,2
with,432,130,51,80,2
alarm,487,130,73,80,2
Who,565,130,66,80,2
will,634,130,41,80,2
bake,679,130,57,80,2
those,739,130,65,80,2
delicious,807,130,102,80,2
cakes,911,130,90,80,2
I,2,220,23,80,2
am,29,220,38,80,2
sorry,71,220,66,80,2
I,142,220,13,80,2
do,159,220,33,80,2
not,195,220,42,80,2
know,239,220,84,80,2
says,324,220,53,80,2
Ms,379,220,41,80,2
Gervis,425,220,79,80,2
I,509,220,23,80,2
must,536,220,60,80,2
solve,598,220,61,80,2
this,662,220,45,80,2
case,709,220,54,80,2
immediately,766,220,158,80,2
says,925,220,53,80,2
the,980,220,40,80,2
detective,1023,220,110,80,2
